place,package_name,price,time,about_trip,emi
indonesia,Balinese Getaway - Yatra Exclusive,"10,190","
                            4 NIGHTS
                        ","
	
		
			Welcome to Bali. Upon your arrival, meet our representative at the arrival hall who will escort you till your private car.
			Arrive at the hotel and check in. The day is free at leisure. You can unwind at the hotel or relax at the nearest beach.
			As the sun sets you must checkout the in-house hotel bar or famous nightlife spots such as Ku De Ta on the Seminyak coast, or the Rock Bar at Ayana Resort, perched on cliffs above the Indian Ocean. Overnight stay at the hotel.
	
		Enjoy continental breakfast in the Hotel.
		Proceed to visit the famous Ubud Village and Mount Batur. This full-day tour takes you on an eight-hour journey to explore the artistic, cultural and historical highlights of central Bali. The first morning stop is at the village of Batubulan, where you can enjoy the Barong and Keris theatrical performances, depicting the mythical tale of Good vs Evil, and portrayed by performers in vibrant costumes. The tour also includes stops at the nearby Balinese hand-weaving, gold and silversmith’s village of Celuk and Mas where you can witness Bali's creative artisans at work, and perhaps strike a bargain straight from the source. You will then journey towards the highland region of Kintamani and Mount Batur where you’ll enjoy the vast open vistas of the active volcano and the Batur caldera lake. Enjoy sumptuous Indian lunch here.
	Add an adrenaline kick to your Bali vacation with a choice of thrilling water sports and activities at the Tanjung Benoa Beach Resort in Nusa Dua, all including hotel pick-up. Enjoy a fun banana boat ride, zip along the beach on a jet ski or try exhilarating water sports like parasailing. Overnight stay at the hotel.
	
		Today is free for leisure to explore surroundings at leisure. Overnight in Hotel.
	
		
			After breakfast, check out of the hotel to proceed to the airport for your flight back home."," 626
                            "
indonesia,Incrible Bali & Gili Islands - Honeymoon Special,"24,900","
                            6 NIGHTS
                        ",,
malaysia,Explore Perth with Malaysia,"1,41,990","
                            6 NIGHTS
                        ","
	
		
			
				
					
						
	
		
			
				
	
		
			
				
	
		
	
		
	
		
	"," 8,725
                            "
malaysia,Singapore Malaysia Dream Cruise,"22,699","
                            2 NIGHTS
                        ","
	Disembark cruise at 12:00 hrs noon.
	 
	 "," 1,395
                            "
hong kong,Extravagant Hong Kong and Macau,"65,990","
                            5 NIGHTS
                        ","
	On your arrival in Hong Kong, get set to be transported to Macau by a ferry from the airport ferry terminal. When you reach Macau, you are transferred to your hotel (complimentary shuttle) for check-in. Check-in to your hotel in Macau and relax for the day.                                       Touted as the Vegas of China, Macau is an electric city with fervorous gambling and partying choices for its tourists. A melting pot of various cultures, the city will surprise you with its diversity and entice you with its warmth and welcoming ambiance. Later in the evening, you can also head out to sample some of the sumptuous delicacies and food available in the many restaurants.                                                                                                                                                                                                                                                    Another interesting option available is that you head out to the House of Dancing Water Show  (Optional tour, tickets only). This state-of-the-art theater provides the setting for an epic love story and spectacular journey through time, showcasing dazzling costumes, special effects and record breaking acts never seen before in a theater. The show is a must-see experience you’ll want to relive over and over again. Be sure to catch it, only at City of Dreams. 
	 
	Overnight stay at the hotel.  
	
		
			
				Today after breakfast, you will be taken to a city tour of Macau. 
				 
				The first stop of our exciting day is the Ruins of St Paul's that house the remains of a 17th century Jesuit Church. After having explored the destination, we head to one of the oldest Taoist temples in Macau, the A-ma Temple. Stop by the Macau Tower, (observation deck ticket not included) where you get a chance to see Hong Kong with a 360-degree view. The towering skyline will leave you speechless, but contain your awe, as we have to take a final visit to a casino before we end the day. After all, what's a visit to Macau without having experienced gambling first hand? 
				 
				After a great day, head out for a taste of local lunch and then be transported back to your hotel for an overnight stay.
	
		
			After waking up and filling yourselves with a delectable breakfast, check-out from the hotel and proceed to the ferry terminal for your journey back to Hong Kong. Upon arrival in Hong Kong, you will be met by a representative who will assist you with your transfer to hotel. On your way to the hotel, you get to see some of its skyscrapers and enjoy its superb infrastructure. The perfect fusion of modern and traditional, Hong Kong gives you ample chance to dwell in the best of all worlds. Check-in to your hotel and relax for a little while. 
			 
			You're free to explore the city at your own pace later in the evening or stay in the comforts of your hotel to relax. Overnight stay at Hong Kong.
	
		
			Wake up to a gorgeous morning and enjoy a hearty breakfast at the hotel. Get ready to take a spin across the beautiful Hong Kong in the city tour which will cover great attractions such as Avenue of Star, Victoria Peak (Top Level) by coach,  Jewellery Workshop and Souvenir Shop. The tour ends at Tsim Sha Tsui area.
			 
			You see all the important attractions and landmarks of the city and sightseeing enjoy its wonderful infrastructure. Once a small fishing village, today Hong Kong is a bustling cosmopolitan center that provides a springboard for those looking to visit China. 
			 
			After an eventful day of exciting sightseeing, head back to the hotel for an overnight stay. 
	
		
			Wake up in the morning and treat yourself to a sumptuous breakfast before you begin your day. Explore You are free to do as you like today! 
			 
			Hong Kong is best known for its international cuisine. Today as you have the day at leisure, it may be a good idea to head out an treat your taste buds to some of the available gastronomical delights. Hong Kong also has innumerbale malls that house some of the best brands. So if you like retail therapy you can easily sate the shopaholic in åyou by visiting one of the many shopping centers and malls. 
			 
			Hong Kong  also offers lots of exciting recreational avenues. Those with kids must visit the Disney Land in Hong Kong. Ocean World is another interesting tourist attractions. Also known as Ocean Park, it is a marine mammal park, oceanarium, amusement park, and an animal theme park. The Lantau Island tour also makes for a must visit tourist attraction. 
			 
			After having being part of one of these exciting tours at an addirional cost, head to your hotel for an overnight stay.
			 
			Overnight stay at the hotel. "," 4,055
                            "
mykonos,Gorgeous Greece,"71,200","
                            6 NIGHTS
                        ",,
indonesia,Best Of Bali - Lembongan Island Cruise,"38,500","
                            4 NIGHTS
                        ",,
sri lanka,Scenic Sri Lanka - Standard,"22,999","
                            5 NIGHTS
                        ","
	Meet and assist on arrival at Airport.
	Breakfast at Hotel. 
	blended cup of pure Ceylon Tea.
	present breathtaking views of a buzzing countryside 
	Breakfast at Hotel.  Transfer from Nuwara Eliya to Kitulgala.
	strain your voice to the core or slide down to the darkest 
	Breakfast at Hotel.
	Breakfast at Hotel. Transfer from Bentota to Colombo. 
	upcoming inspiration, the Colombo Port City - an 
	Conference Hall (BMICH) before swaying your head to an opera or play at Nelum Pokuna that 
	Overnight Stay at Hotel. Transfer from Bentota to Colombo.
	Conference Hall (BMICH) before swaying your head to an opera or play at Nelum Pokuna that 
	Overnight Stay at Hotel.
	Breakfast at Hotel."," 1,413
                            "
mauritius,Exotic Trip  To Mauritius,"60,500","
                            6 NIGHTS
                        ",," 
                            "
san francisco,Western Highlights - USA,"1,26,990","
                            10 NIGHTS
                        ","
	Arrive at San Francisco International Airport and transfer independently to your hotel. Your ATI Tour Director will meet you this afternoon.
	After breakfast. This morning, join a half-day city tour which includes Union Square, the Civic Center and Fisherman’s Wharf. From the top of Twin Peaks, enjoy the spectacular view and see for yourself why many consider San Francisco the most beautiful city in America. Enjoy the afternoon at leisure in “the City by the Bay”, perhaps a cable car ride to Fisherman’s Wharf where one may enjoy a “Taste of San Francisco”: local seafood, famous sourdough breads or decadent Ghiradelli’s Chocolate. Or take a stroll by Sea Lions’ Marina to observe them frolic and play. Be sure to gaze across the bay to Alcatraz Island where “America’s Most Wanted” such as Al Capone and ”Machine Gun” Kelly were incarcerated. Or visit Union Square for a shopping stop at Macy’s Department Store. Your ATI Tour Director will be on hand to assist you in planning your next two days in the city.
	After breakfast. Join an optional tour to Monterey and Carmel. Travel along the Pacific Coast to the Monterey Bay Peninsula. Visit Cannery Row, made famous by the John Steinbeck novel. Your optional package includes admission to the famous Monterey Bay Aquarium, showcasing some 200 exhibits on marine life and one of the most respected aquariums in the world. Continue on the 17-Mile Drive, admiring the natural scenery and gorgeous homes. Enjoy time in the charming community of Carmel, known for its art galleries and shops before returning to San Francisco.
	After breakfast. Join the group for an included all day adventure to Yosemite National Park. Known for its magnificent waterfalls (seasonal), granite peaks and remarkable wildlife, Yosemite is one of America’s favorite National Parks. We will explore the park by motorcoach, but you will also have time on the valley floor to enjoy the spectacular scenery and enjoy an included all American picnic. This evening enjoy an included reception with your tour director and fellow passengers.
	After breakfast. Today, travel through the Mojave Desert on your way to Las Vegas. A late afternoon arrival in the dazzling “Entertainment Capital of the World” will give you enough time to start enjoying this fantastic city right away. Your ATI Tour Director will assist you in arranging all you want to do whether it is shopping, seeing a show, enjoying the fine dining, or joining an optional evening tour.
	After breakfast. This morning we stop at the iconic Las Vegas Welcome Sign where you may wish to capture a photo memory of Las Vegas before making your way to an included day trip to the Grand Canyon. On the way, admire the beauty of Lake Mead, the largest reservoir in the U.S. formed by the Hoover Dam. At the Grand Canyon, you will have time to explore the views on your own and if you choose, join an optional helicopter trip over the canyon, a rafting trip on the Colorado, or walk on the Skywalk platform.
	After breakfast. The day is yours to choose how you spend it. Maybe do a little shopping at one of the fine shopping outlets in Las Vegas, lounge by the pool, or join an optional tour. One of the possibilities would be a full day trip to Zion National Park. Zion is known for its majestic canyons, waterfalls, and amazing wildlife. Your day visit will include a guided walk as well as an All-American picnic lunch.
	 
	After breakfast. Today your journey takes you from Las Vegas through Palm Springs, the winter playground for Hollywood royalty, with its lively downtown area and immaculately kept golf courses at the base of the rugged San Jacinto Mountains. This city in the desert was once known as the winter retreat of stars like Frank Sinatra, Jane Russell and Elvis Presley. Today it is a flourishing resort town with great shops, restaurants and year round desert climate. A sea of wind turbines mark the entrance to this desert oasis. Along the way you will pass through Indio, home to the International Date Festival due to the abundance of this crop in the Coachella Valley. In the late afternoon, arrive in Los Angeles.
	 
	After breakfast. This morning, you will enjoy a comprehensive city tour of Los Angeles including the hip Santa Monica, glamorous Hollywood and posh Beverly Hills. You will be able to stop by the “finish line” of Historic Route 66, see an iconic Californian lifeguard tower made famous by “Baywatch”, walk on the boulevard of stars and take a great photo of the famous Hollywood sign. The afternoon is yours to explore more on your own or join an optional excursion to Universal Studios where you will learn all about how movies are made. 
	 
	After breakfast. Today enjoy an optional full day excursion to San Diego. Travel south through San Juan Capistrano and San Clemente to San Diego, the second largest city in California. San Diego enjoys year round mild weather and a location on the San Diego Bay. Enjoy a city tour including the historic Old Town, the Gas Lamp district, and the bay front picturesque Seaport Village. For a different view of the city, you can join an optional cruise on the bay before returning to Los Angeles in the late afternoon."," 7,803
                            "
sentosa island,Luxury Singapore With Universal Studio And Sentosa Island,"59,000","
                            5 NIGHTS
                        ",,
orlando,Orlando - USA,"45,990","
                            3 NIGHTS
                        ",," 2,826
                            "
kenya,Go Crazy in Mauritius and Kenya,"94,990","
                            7 NIGHTS
                        ","
	Mauritius is more than just an island. It has a rich colonial history, a unique biodiversity and gorgeous, gorgeous weather. This is apart from the fact that it is blessed with an array of stunning beaches, spectacular coastline and teeming coral reefs. Mauritius has every creature comfort that a traveler wants, yet it retains its off-the-beaten-track appeal. Upon arrival in Mauritius, you will be welcomed by our representative who will escort you to your hotel. Check-in, relax and spend the rest of the day at leisure. Dinner will be served in one of the restaurants at the hotel. After dinner, retire to your room for an overnight stay.
	 
	After breakfast, proceed for a full-day tour of the South Island of Mauritius.  Visit Curepipe, a model ship factory, Trou Aux Cerfs the crater of an extinct volcano Proceed for Grand Bassin- Sacred Lake for Hindus in Mauritius and Shiva Temple. Drive through Plaine Champagne & Black River Gorges and visit the 23-coloured Nature Park for a surreal experience . At the end of the day, come back to the hotel, have dinner and retire for the night.
	 
	Note : Wear comfortable shoes and warm clothes. Please carry an umbrella too.
	 
	 
	 
	After breakfast, proceed for a full day North Island tour. Visit the capital city- Port Louis, Place D’Armes with its French colonial buildings, the eventful Champ de Mars Racecourse, and the exotic Caudan Waterfront. Dinner will be served in one of the restaurants at the hotel. 
	Overnight at hotel in Mauritius.
	Ile Aux Cerfs is most probably one of the most beautiful places in Mauritius. It is an emerald colored lagoon on the east coast of this lovely island. After a hearty breakfast at the hotel, embark on an excursion to its sandy beaches, beautiful lagoon and a wide array of tourist friendly beach activities. Nothing beats a swim in the blue waters of the ocean. You can choose to don the snorkel and check out the marine life under the waves.  You can also enjoy optional water sports such as banana boat ride, water skiing, parasailing, waterfall visit and undersea walk at an additional cost. After a fun-filled and exciting day, you will be transferred back to the hotel in the evening. Later in the night, have dinner at one of the restaurants and stay overnight at the hotel.
	 
	Note : Carry beach towel which you can collect from the hotel (to be returned later).  Also carry changing clothes, swimwear, sunscreen, cap / please do not carry your passport and any other valuable items.
	 
	Today, after a hearty breakfast proceed to airport to board your flight to Nairobi. A warm welcome awaits you upon arrival at the Jomo Kenyatta International Airport by our guide who will take you through the Nairobi orientation tour covering the modern city center, Kenyatta International Conference Centre; the Landmark of Nairobi (KICC) and the renowned National Museum. Overnight at the hotel.
	After a hearty breakfast you will depart for the fabled Masai Mara National Reserve. The enormous reserve is actually part of the vast Serengeti plains famously known for its spectacular great wildebeest migrations and its home for the big five Lion, Elephant, Leopard, Buffalo and Rhino. Arrive in time for lunch at the beautiful Mara Sun Lodge. After a sumptuous lunch, you will depart for an afternoon game drive to see the game of savannah. Dinner and overnight at Masai Mara.
	 
	A relaxed rise followed by a hearty breakfast and thereafter a full day game drive with picnic lunch to see the varied game of the Masai Mara. This region is Kenya's most popular game sanctuary where you will have the best opportunity of spotting the Big Five (lion, leopard, buffalo, rhino and elephant). Optional visit to a local Maasai village. Dinner and Overnight at Masai Mara.
	 
	After a hearty breakfast you will depart for Nairobi. On arrival into Nairobi you will be transferred to Jomo Kenyatta International Airport for your flight back home
	 "," 5,837
                            "
hua hin & cha am,Thai Getaway - Hua Hin with Bangkok : Yatra Exclusive,"58,990","
                            5 NIGHTS
                        ","
	Upon Arrival in Bangkok Airport you will be met by our representative & you 
	
		After Breakfast we drive south to see The Maruka Thai Yawan Palace (Place of love & hope ). Designed by King Rama VI, and completed in 1924. Spend time walking around the beautiful Teakwood Palace, now restored to its former glory. Then visit Hua Hin Railway Station, built in the reign of King Rama VI, the station is one of Thailand’s oldest railway stations. In addition, it is one of the country’s most beautiful train stations with unique architecture. Its most striking feature is the splendid Royal Waiting 
	After breakfast, you will be Start your Journey back to Bangkok. Upon Arrival in Bangkok you will be transferred to your pre - booked hotel. Rest of the day will be free at your own leisure. Overnight stay at the Hotel.
	 
	
		"," 3,625
                            "
phuket,Thailand Beaches and Sunshine - Yatra Exclusive,"35,990","
                            10 NIGHTS
                        ","
	
		
			
				
	 
	After Breakfast, proceed on City Tour of Phuket. Take in Phuket Island's natural beauty as you are driven along beach roads through Patong, Karon and Kata. Visit the 'Three Beaches' viewpoint where you can take in a great vista of the beautiful bays of Kata Noi, Kata, Karon and Kho Pu Island, at one of the island's best scenic spot. his tour gives an insight into the highlights of the 'Pearl of the Andaman'. It also includes a leisurely drive around Phuket west coast line from Patong beach till end of the island. Return to the Hotel for overnight stay.
	 
	
		Enjoy Breakfast in the Hotel. Today, check out and transfer to Khao Sok National Park by road. Upon arrival, check in and transfer to Hotel. Spend rest of the day at leisure exploring the surroundings on own.
		 
	Enjoy the day free at leisure exploring the surroundings at leisure. The National Park is covered by evergreen rainforest, limestone mountains, deep valleys and breathtaking lakes and much more. We recommend to get upclose and personal with elephant encounters, jungle trekking, canoeing which shall offer you experience of a lifetime.
	 
	After Breakfast, transfer to Ao Nang.
	 
	Have a buffet breakfast at the hotel in the morning. Ferry for Koh Lanta. Overnight in Koh lanta.
	 
	Day free at Leisure.
	 
	Have a buffet breakfast at the hotel in the morning. Ferry for Koh Lipe. Overnight in Koh lipe.
	 
	Day free at Leisure.
	 
	Have a buffet breakfast at the hotel in the morning. After check out formalities, you will be picked up for departure transfer to the airport for flight way back home.
	 "," 2,212
                            "
